,phrase,label,sentiment,subjectivity,language,count
Frauenfußball-Bundesliga,Frauenfußball-Bundesliga,ORG,0.0,0.0,de,2
FC Arsenal,FC Arsenal,ORG,0.35,0.0,de,2
Testspiele,Testspiele,ORG,0.0,0.0,de,2
Freiburg II.,Freiburg II.,ORG,0.0,0.0,de,2
Pokalfinalisten SC Freiburg,Pokalfinalisten SC Freiburg,ORG,0.0,0.0,de,2
Hallesche FC,Hallesche FC,ORG,0.0,0.0,de,2
UEFA,UEFA,ORG,0.0,0.0,de,2
SC-Trikot,SC-Trikot,ORG,0.7,0.0,de,2
Bundesliga-Konkurrenten VfL Wolfsburg,Bundesliga-Konkurrenten VfL Wolfsburg,ORG,0.0,0.0,de,2
Erstliga-Absteiger FC Schalke 04,Erstliga-Absteiger FC Schalke 04,ORG,1.0,0.0,de,2
Lecko,Lecko,ORG,0.0,0.0,de,2
U-21-Nationalkeeper,U-21-Nationalkeeper,ORG,0.7,0.0,de,2
U-21-Coach,U-21-Coach,ORG,0.0,0.0,de,2
Hallescher FC,Hallescher FC,ORG,0.5,0.0,de,2
Sreto Ristic,Sreto Ristic,ORG,0.0,0.0,de,2
Werkself,Werkself,ORG,0.0,0.0,de,2
Barça,Barça,ORG,0.0,0.0,de,2
Mega-Ausstiegklausel,Mega-Ausstiegklausel,ORG,0.0,0.0,de,2
Stuttgart,Stuttgart,ORG,0.0,0.0,de,2
DFB-Pokal-Tickets,DFB-Pokal-Tickets,ORG,0.7,0.0,de,2
Fußball-B,Fußball-B,ORG,0.0,0.0,de,2
Freiburgs Stammkeeper,Freiburgs Stammkeeper,ORG,-0.15000000000000002,0.0,de,2
Ajax,Ajax,ORG,0.0,0.0,de,2
RSC Anderlecht,RSC Anderlecht,ORG,0.5,0.0,de,2
Atubolu,Atubolu,ORG,0.0,0.0,de,2
Bayern-Star,Bayern-Star,ORG,0.0,0.0,de,2
Rapid Wien,Rapid Wien,ORG,0.0,0.0,de,2
Oberachern,Oberachern,ORG,0.0,0.0,de,2
Bayern-Pleite,Bayern-Pleite,ORG,0.0,0.0,de,2
Oberligist,Oberligist,ORG,0.0,0.0,de,2
Bundesliga-Partie,Bundesliga-Partie,ORG,0.35,0.0,de,2
FC Empoli,FC Empoli,ORG,0.0,0.0,de,2
SC Freiburg Borussia Dortmund,SC Freiburg Borussia Dortmund,ORG,0.0,0.0,de,2
Freiburgs Freistoßkünstler,Freiburgs Freistoßkünstler,ORG,0.0,0.0,de,2
deutschen U18-Nationalspielers,deutschen U18-Nationalspielers,ORG,0.0,0.0,de,2
Freiburger U19,Freiburger U19,ORG,0.0,0.0,de,2
Abstiegsbedrohte Hertha,Abstiegsbedrohte Hertha,ORG,0.0,0.0,de,2
RAN,RAN,ORG,0.0,0.0,de,2
Fußball-Bundesligist Borussia Mönchengladbach,Fußball-Bundesligist Borussia Mönchengladbach,ORG,0.0,0.0,de,2
französischen Erstligisten,französischen Erstligisten,ORG,0.0,0.0,de,2
Fölmli,Fölmli,ORG,0.0,0.0,de,2
VfB Stuttgart II.,VfB Stuttgart II.,ORG,0.0,0.0,de,2
Juventus  ,Juventus  ,ORG,0.35,0.0,de,2
Grashopper Club Zürich,Grashopper Club Zürich,ORG,-0.7,0.0,de,2
SC Freiburg - Leverkusen,SC Freiburg - Leverkusen,ORG,0.0,0.0,de,2
Freiburg-Star!,Freiburg-Star!,ORG,0.0,0.0,de,2
BIL,BIL,ORG,0.0,0.0,de,2
niederländische Nationalmannschaft,niederländische Nationalmannschaft,ORG,0.0,0.0,de,2
Schwarzge,Schwarzge,ORG,0.0,0.0,de,2
Dreisamstadion,Dreisamstadion,ORG,0.0,0.0,de,2
HADAFO,HADAFO,ORG,-0.35,0.0,de,2
TSG 1899 Hoffenheim,TSG 1899 Hoffenheim,ORG,0.0,0.0,de,2
Jobrad,Jobrad,ORG,0.7,0.0,de,2
Champions-League-Kandidaten,Champions-League-Kandidaten,ORG,0.775,0.0,de,2
SC Freiburg Abstiegskandidat Hertha BSC,SC Freiburg Abstiegskandidat Hertha BSC,ORG,0.0,0.0,de,2
Underdog SV Sandhausen,Underdog SV Sandhausen,ORG,0.0,0.0,de,2
Bundesliga-Spitzenteam,Bundesliga-Spitzenteam,ORG,0.0,0.0,de,2
FC Sevilla,FC Sevilla,ORG,0.0,0.0,de,2
PSV Eindhoven,PSV Eindhoven,ORG,0.0,0.0,de,2
SC-Finanzvorstand,SC-Finanzvorstand,ORG,0.7,0.0,de,2
Netz­re­ak­tionen,Netz­re­ak­tionen,ORG,0.0,0.0,de,2
SC Freiburg gen Barcelona,SC Freiburg gen Barcelona,ORG,0.0,0.0,de,2
Fünftligisten,Fünftligisten,ORG,1.0,0.0,de,2
Freiburg!,Freiburg!,ORG,0.0,0.0,de,2
